transcript_id,SRR1839791,SRR1839792,SRR1839793,SRR1839793,SRR1839794,SRR1839795,SRR1839796,SRR1839797,SRR1839798,SRR1839799,SRR1839800,SRR1839801,SRR1839802,SRR1839803,SRR1839804
NM_001145210,0,0,0,0,0,13,0,0,5,0,0,0,0,4,5
NM_001146685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_125994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_125995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_125996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_022834,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
NM_199121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170536,0,0,0,0,4,0,7,0,4,0,7,0,0,0,0
NM_030937,4154,2209,1875,1875,3788,2592,2853,2075,1545,1540,2007,1915,2180,1583,2391
NR_135154,6505,1007,715,715,7014,2980,4391,1876,1898,1855,3689,1848,3304,3164,3861
NM_001350498,931,1168,0,0,392,251,553,0,165,273,167,551,93,131,520
NR_146722,346,0,0,0,65,81,0,0,156,80,55,6,150,33,82
NM_001350499,110,0,0,0,0,61,0,0,203,119,0,0,102,0,170
NR_146723,28,2,17,17,110,9,13,17,9,9,29,20,10,0,20
NM_001320153,19,0,0,0,534,0,0,0,0,0,173,0,0,0,0
NM_001350497,9,0,5,5,18,82,14,0,119,11,0,0,0,0,18
NM_001039577,14,7,3,3,5,25,13,10,17,32,14,7,6,103,41
NR_015434,1183,631,500,500,1064,745,832,477,636,420,635,518,642,381,687
NM_017971,753,715,660,660,735,666,687,610,731,536,591,668,639,472,750
NM_001318485,504,522,286,286,530,296,630,272,314,224,333,260,284,238,328
NM_001039211,82,107,44,44,65,31,61,30,58,89,115,26,62,33,42
NM_031921,721,1193,900,900,713,503,624,43,213,82,438,96,356,127,113
NM_001317238,964,0,198,198,1180,351,465,478,726,780,606,684,522,426,683
NM_001170535,1205,1081,896,896,1202,578,679,0,631,78,578,507,638,10,526
NM_018188,25,12,20,20,50,16,13,413,20,354,31,40,25,295,5
NR_168263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_168264,10,19,5,5,10,0,20,0,9,25,7,0,12,6,0
NM_178545,9,0,0,0,5,0,0,0,0,0,4,0,0,0,0
NM_001330313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138705,7,0,5,5,14,3,15,0,0,30,0,0,6,0,0
NM_000815,0,0,0,0,9,0,0,0,11,0,0,0,0,9,0
NM_001282538,0,23,0,0,0,0,2,0,0,0,0,0,3,194,0
NM_001282539,2761,353,796,796,1999,776,428,0,607,78,4234,1141,511,48,824
NM_002074,27360,13534,7306,7306,27940,21326,23490,16793,14735,9989,12305,11776,14607,11550,19737
NM_001033581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001350803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001350805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001033582,0,16,0,0,4,0,21,0,0,0,0,0,1,0,0
NM_002744,1817,2381,1161,1161,1948,984,1300,1089,820,0,945,717,826,544,860
NR_146911,54,0,63,63,48,0,36,0,0,491,0,17,17,0,40
NM_001350804,14,50,3,3,11,18,0,34,23,48,0,28,21,8,5
NM_001350806,6,2,2,2,2,0,0,0,0,133,6,5,6,0,3
NR_146290,363,277,151,151,481,173,278,241,126,66,197,124,225,106,172
NM_001282672,135,0,0,0,298,0,0,0,0,0,0,0,0,0,0
NM_001282671,81,204,445,445,185,125,494,163,258,100,112,133,430,79,113
NM_001146310,46,14,23,23,154,26,17,5,0,8,21,6,7,0,8
NM_001256945,144,11,0,0,30,0,0,0,0,0,26,0,0,0,0
NM_001282673,139,232,0,0,126,167,0,102,0,194,49,151,0,112,61
NM_182533,1340,2937,926,926,1083,556,481,507,444,211,490,352,339,313,429
NR_046427,79,0,0,0,93,0,0,0,11,0,0,14,0,0,0
NM_001256947,19,33,40,40,13,0,17,0,0,0,2,0,0,0,0
NM_001282670,60,97,53,53,92,40,80,31,39,21,17,35,26,14,37
NR_168005,534,438,259,259,472,249,276,167,255,208,240,175,208,175,265
NM_001256946,96,107,75,75,99,128,93,95,69,14,113,109,58,63,161
NM_033486,0,632,0,0,3161,0,1913,437,0,0,489,413,0,416,0
NM_033487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242659,455,660,222,222,457,297,322,265,206,201,219,124,181,125,229
NR_147951,10,0,8,8,8,7,0,16,0,0,8,0,0,0,16
NM_001170688,680,968,608,608,1148,0,64,0,397,642,276,54,11,230,281
NM_080875,1486,218,375,375,1287,482,370,28,0,299,290,516,0,456,0
NM_001170687,1316,1626,1001,1001,627,0,1082,0,1071,248,597,427,0,17,585
NM_001170686,752,0,670,670,868,0,0,0,0,0,340,137,726,0,306
NR_033183,734,0,275,275,466,491,0,1168,267,0,0,0,604,0,82
NM_001170689,219,2236,163,163,495,332,236,119,4,104,139,55,0,33,98
NR_146324,17,34,7,7,34,5,21,2,0,10,14,3,12,5,12
NM_006983,277,104,129,129,156,36,50,50,78,45,52,71,38,0,78
NR_002946,11,1,2,2,7,0,0,0,7,10,0,0,3,38,4
NM_033489,6266,19,131,131,1151,432,598,162,63,69,569,11,95,69,173
NM_001787,201,10,1854,1854,979,418,211,241,151,56,399,322,76,89,127
NM_033490,125,2596,0,0,314,2434,1274,2724,2795,2256,2236,1542,2355,2016,3272
NM_001291345,24,240,0,0,976,282,247,61,81,78,157,131,20,36,76
NM_001290264,7386,40,3,3,2573,5292,19,96,24,45,32,13,2860,428,160
NM_001110781,6520,2679,2166,2166,12537,1639,9416,5758,4736,3905,5966,4074,5083,5035,7628
NR_002946_dup1,217,67,87,87,105,26,44,41,75,50,45,49,35,38,66
NM_001313982,3487,8,450,450,14,4,2514,0,202,1319,1710,84,0,257,129
NM_024011,963,997,505,505,2085,767,401,1089,36,214,1162,771,705,747,1048
NR_132740,676,280,59,59,490,440,584,306,81,253,551,279,220,162,330
NM_033529,249,1195,646,646,2258,899,57,1049,0,25,40,814,678,874,803
NR_132739,196,303,59,59,539,580,54,486,0,42,69,280,658,636,519
NM_001313896,164,318,100,100,477,482,80,380,2127,56,134,156,311,162,390
NM_001199787,237,77,77,77,310,133,159,133,61,82,137,42,155,85,114
NM_182838,7050,2159,983,983,6638,3948,5464,3336,2362,2225,5651,3729,3405,3607,7944
NM_001353641,44397,30644,16243,16243,49226,30315,37828,28476,28522,14487,30256,18964,20407,10370,22388
NM_001353642,919,88,41,41,420,329,56,279,396,16,166,18,32,17,42
NM_001198994,1117,406,289,289,1265,368,451,313,358,202,415,248,312,180,327
NM_023018,483,20,0,0,246,16,0,20,19,38,32,156,130,50,128
NM_001198995,233,75,44,44,266,97,192,53,138,42,113,81,79,52,131
NM_001198993,1,4,4,4,7,2,1,0,1,0,32,0,0,0,3
NM_003036,13829,3388,1790,1790,13542,5442,5482,4269,3385,2870,6221,3229,3900,3919,5630
NM_001374425,0,0,0,0,63,62,0,0,0,0,0,67,0,0,0
NM_001374426,0,215,108,108,0,0,7,185,6,6,32,0,0,5,0
NM_001374427,0,0,0,0,0,0,296,0,166,160,114,0,0,135,0
NR_164636,0,0,0,0,16,0,0,0,0,0,0,0,60,0,10
NM_024848,52,55,43,43,86,50,48,37,0,0,87,29,29,16,36
NR_024489,117,169,100,100,164,70,98,35,67,50,76,54,81,32,68
NM_001301060,9,0,0,0,13,2,0,3,29,28,4,0,15,0,0
NR_125361,41,36,10,10,28,17,18,20,11,21,24,13,14,12,41
NM_007033,7742,6232,4116,4116,7763,5541,6334,4868,4036,3275,4466,4086,4301,2962,4832
NM_002617,481,0,52,52,424,228,0,0,0,0,0,93,180,0,224
NM_153818,7,32,1,1,0,0,0,0,0,0,0,0,0,0,0
NM_001303012,1014,291,0,0,600,285,0,38,198,139,0,137,251,171,0
NM_014638,47,0,0,0,56,0,0,0,0,0,0,0,33,28,0
NM_001303013,90,22,217,217,0,57,348,104,133,67,232,42,24,3,335
NM_018216,1631,693,444,444,1537,812,1238,598,667,500,769,596,695,499,771
NM_014448,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0
NM_001242672,5,0,0,0,5,0,3,0,0,0,4,3,3,0,0
NM_001195740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001195741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_036637,105,0,0,0,139,76,141,40,8,18,0,19,236,36,7
NR_036638,83,0,0,0,110,123,102,273,23,3,0,21,119,45,6
NM_152371,262,333,290,290,409,226,190,0,183,64,425,151,35,197,224
NM_001195736,85,0,0,0,1,17,0,0,6,15,3,0,8,95,74
NM_001195738,82,292,145,145,195,186,185,0,305,25,115,159,35,44,141
NM_001195737,68,0,1,1,49,9,3,0,27,317,0,7,3,1,0
NM_033467,10,58,16,16,18,13,0,5,26,0,0,7,26,6,0
NM_001297605,0,320,153,153,85,0,79,95,0,58,24,0,24,0,0
NR_037844,635,464,352,352,554,289,456,224,478,268,390,368,264,249,249
NM_003820,7701,7159,6020,6020,6793,3865,5110,2893,4237,2694,3234,2724,3016,1781,2525
NR_121638,44,21,11,11,41,17,50,14,24,17,18,18,32,10,19
NM_199454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_036215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_022114,20,8,0,0,15,8,9,0,5,0,0,0,7,0,6
NR_030277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001409,5735,4865,2023,2023,6933,2519,3525,2280,1598,1649,2973,1133,2160,1205,2102
NM_182752,8031,6628,3198,3198,7344,5220,5738,4284,2859,2813,4081,3244,3648,2807,5084
NM_017818,1807,1238,540,540,1657,1197,1412,823,865,682,845,681,1066,576,1132
NM_001204185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_033712,0,94,0,0,0,0,0,0,0,148,200,0,0,135,0
NR_033710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005427,36,0,37,37,36,17,20,37,33,11,12,8,21,23,21
NM_001204184,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126240,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_033711,1254,262,363,363,1088,417,923,173,456,356,566,490,566,484,875
NR_033709,415,0,0,0,581,302,175,231,93,0,0,107,159,0,271
NR_033708,61,255,40,40,41,71,27,20,132,19,36,66,55,20,21
NM_207356,1556,362,249,249,1125,1018,1148,701,816,605,614,619,773,734,1101
NR_024455,32,8,14,14,41,39,24,14,10,6,19,7,21,23,17
NM_152492,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
NM_001379690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001379691,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0
NM_001320132,0,0,0,0,443,0,0,0,10,103,0,200,0,0,37
NM_001320136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336
NR_135152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001288583,115,122,2255,2255,814,288,465,0,420,0,254,56,115,35,22
NM_001163724,25,115,404,404,254,23,44,79,102,65,22,3,1,0,2
NM_020710,3501,1032,654,654,3501,1876,2306,1343,1585,1247,1726,1455,1570,1220,2261
NM_014704,2337,394,360,360,2192,909,1112,528,625,525,825,732,780,903,1760
NM_001282669,96,81,105,105,53,0,417,237,0,56,51,0,74,24,36
NM_004402,653,0,0,0,0,387,0,0,297,0,288,0,314,318,225
NR_104222,184,0,0,0,210,10,0,0,13,0,41,0,32,5,31
NR_135150,7,0,0,0,123,0,0,0,0,33,3,154,9,103,11
NR_135151,4,0,0,0,0,0,0,0,0,54,2,0,0,0,4
NM_001042478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018836,53,0,0,0,38,17,23,7,58,13,22,0,47,52,56
NM_015557,26,0,0,0,34,17,32,0,0,0,13,5,10,0,0
NR_125997,0,0,11,11,2,0,0,0,0,0,3,0,0,0,0
NM_000983,6513,2879,2877,2877,5579,5251,6806,2853,4223,3006,3192,3732,4625,4725,5846
NR_039838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015102,660,28,0,0,350,0,50,0,0,0,10,0,0,3,408
NR_111987,307,274,115,115,544,317,460,244,273,323,417,221,332,254,7
NM_001291594,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199861,5058,577,986,986,4171,1248,2813,1765,2293,952,924,1584,1592,1445,1344
NM_172130,12165,16031,5419,5419,12301,12807,11011,6966,7156,6278,8666,6965,6714,4282,10079
NM_003636,5025,4059,2895,2895,7223,2412,3029,2547,1972,1014,2639,1869,2467,1147,4636
NM_001199860,12,3,0,0,3,0,0,0,9,0,3,0,0,3,3
NM_001199862,54,23,7,7,46,15,12,13,6,25,13,4,13,6,13
NM_207370,400,132,99,99,152,91,212,98,165,57,81,138,77,47,203
NM_207396,216,65,31,31,128,55,180,31,109,45,53,131,37,78,88
NM_012405,2521,852,474,474,2236,1669,1766,866,1039,640,760,1045,1237,704,1570
NM_181866,0,223,52,52,16,127,19,58,52,0,0,51,5,88,15
NM_181865,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
NM_181864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007274,303,85,145,145,337,152,271,152,207,211,223,168,181,69,211
NM_177540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138697,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0
NM_024654,1969,701,304,304,2349,1153,2019,671,897,653,1459,950,1039,1205,2015
NM_031475,0,130,193,193,0,42,163,103,0,166,86,0,0,128,177
NR_036218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_148966,0,0,207,207,74,0,0,0,0,0,0,0,0,0,0
NM_148970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042664,0,0,6,6,0,0,0,0,0,0,0,0,5,0,0
NM_001265594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
NM_198681,0,0,0,0,0,0,0,0,0,0,27,0,0,13,0
NM_001367474,571,0,53,53,893,362,79,0,542,336,0,339,531,0,39
NM_001367473,8,1,0,0,0,0,0,5,0,0,0,0,0,8,0
NM_003790,2213,2345,739,739,3523,1016,1242,554,690,1136,1394,1325,1209,746,1138
NM_148965,1174,618,948,948,1643,370,647,274,559,407,393,447,520,447,347
NM_148967,117,0,33,33,43,0,0,0,0,0,15,0,36,57,25
NM_001039664,418,74,60,60,626,224,357,164,201,128,314,360,359,260,413
NM_001265593,308,218,87,87,293,103,231,74,142,29,153,117,230,110,170
NM_001265592,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001278648,0,325,157,157,1294,605,1046,896,1298,358,1351,263,878,1010,188
NM_005341,1582,3033,2030,2030,1461,1557,0,0,10,1094,0,905,431,0,562
NM_001278647,1399,1022,406,406,271,1,1582,1026,443,86,523,308,285,0,954
NM_014851,10434,4821,2636,2636,9604,4885,5150,4293,3186,2076,4250,2371,3545,1844,4433
NM_001324309,4225,2639,1383,1383,5245,1999,3429,1660,1163,1147,2404,1758,1606,1485,2016
NR_149049,0,0,3,3,8,12,0,0,4,0,0,5,3,0,0
NM_153812,1268,306,122,122,1114,653,817,538,288,329,546,368,468,528,677
NM_001195753,464,400,419,419,170,102,311,368,115,266,171,379,365,35,350
NM_001195752,114,171,67,67,532,368,275,0,269,0,187,0,0,156,0
NM_138350,21,21,5,5,26,32,0,5,28,58,50,14,10,6,48
NM_018198,2616,1529,909,909,2648,1659,1889,902,1302,1155,1370,1340,1272,915,1547
NM_001289863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001377276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016831,0,0,0,0,0,0,185,0,0,0,100,0,0,2,0
NM_001289862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289864,209,39,71,71,131,144,0,68,139,98,49,82,167,6,72
NM_001289861,205,0,0,0,142,0,24,0,0,0,0,0,0,242,119
NM_001377275,56,0,0,0,15,0,0,0,0,0,1,0,0,12,1
NM_001561,701,480,238,238,748,540,1093,485,308,160,636,292,541,277,901
NM_018948,43,0,7,7,25,42,59,0,17,10,21,34,16,18,26
NM_001080397,0,0,0,0,3,6,0,0,0,0,0,0,27,0,4
NM_001379615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001379616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001379617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001379618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001379614,44,8,23,23,34,29,49,34,15,28,37,48,6,0,23
NM_001123377,1040,908,1241,1241,230,646,651,0,1086,412,603,367,1207,1022,1337
NM_007262,870,1256,534,534,1149,1303,1486,1255,650,404,256,894,407,142,479
NM_001242701,0,46,0,0,14,3,0,0,41,0,0,0,0,0,8
NM_001349627,0,0,0,0,0,0,0,0,7,3,3,2,1,2,8
NM_001349608,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NM_001349609,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
NM_001349610,0,0,0,0,72,0,0,0,0,0,0,0,0,0,75
NM_001349612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_146199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_146200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
